date,close
2015-09-14,0.71369
2015-09-15,0.71416
2015-09-16,0.71969
2015-09-17,0.71749
2015-09-18,0.71885
2015-09-21,0.71333
2015-09-22,0.70897
2015-09-23,0.70034
2015-09-24,0.70261
2015-09-25,0.70259
2015-09-28,0.69892
2015-09-29,0.69846
2015-09-30,0.70173
2015-10-01,0.70302
2015-10-02,0.70469
2015-10-05,0.70833
2015-10-06,0.71654
2015-10-07,0.72077
2015-10-08,0.72596
2015-10-09,0.73348
2015-10-12,0.7362
2015-10-13,0.72448
2015-10-14,0.73
2015-10-15,0.73284
2015-10-16,0.72614
2015-10-19,0.72487
2015-10-20,0.72601
2015-10-21,0.72094
2015-10-22,0.72078
2015-10-23,0.72198
2015-10-26,0.72489
2015-10-27,0.7194
2015-10-28,0.71148
2015-10-29,0.70736
2015-10-30,0.71369
2015-11-02,0.71467
2015-11-03,0.71856
2015-11-04,0.71488
2015-11-05,0.71434
2015-11-06,0.70272
2015-11-09,0.70475
2015-11-10,0.70312
2015-11-11,0.70613
2015-11-12,0.71263
2015-11-13,0.71224
2015-11-16,0.70963
2015-11-17,0.71123
2015-11-18,0.7113
2015-11-19,0.71942
2015-11-20,0.72381
2015-11-23,0.71921
2015-11-24,0.72557
2015-11-25,0.72518
2015-11-26,0.72256
2015-11-27,0.71944
2015-11-30,0.7229
2015-12-01,0.73237
2015-12-02,0.73088
2015-12-03,0.73409
2015-12-04,0.73399
2015-12-07,0.7268
2015-12-08,0.72154
2015-12-09,0.72297
2015-12-10,0.72807
2015-12-11,0.71879
2015-12-14,0.72438
2015-12-15,0.71927
2015-12-16,0.72335
2015-12-17,0.71288
2015-12-18,0.71734
2015-12-21,0.71902
2015-12-22,0.72367
2015-12-23,0.72343
2015-12-24,0.72678
2015-12-25,0.72742
2015-12-28,0.72487
2015-12-29,0.72956
2015-12-30,0.72865
2015-12-31,0.72858
2016-01-01,0.72895
2016-01-04,0.71911
2016-01-05,0.71614
2016-01-06,0.70723
2016-01-07,0.70118
2016-01-08,0.69526
2016-01-11,0.69962
2016-01-12,0.69852
2016-01-13,0.69564
2016-01-14,0.69848
2016-01-15,0.68603
2016-01-18,0.68661
2016-01-19,0.69082
2016-01-20,0.69071
2016-01-21,0.69991
2016-01-22,0.70034
2016-01-25,0.69548
2016-01-26,0.70055
2016-01-27,0.70267
2016-01-28,0.70839
2016-01-29,0.70841
2016-02-01,0.7114
2016-02-02,0.70386
2016-02-03,0.71692
2016-02-04,0.7201
2016-02-05,0.707
2016-02-08,0.70872
2016-02-09,0.70706
2016-02-10,0.70955
2016-02-11,0.71084
2016-02-12,0.71072
2016-02-15,0.71383
2016-02-16,0.71109
2016-02-17,0.71834
2016-02-18,0.71573
2016-02-19,0.71481
2016-02-22,0.72279
2016-02-23,0.72028
2016-02-24,0.71961
2016-02-25,0.72369
2016-02-26,0.71254
2016-02-29,0.7143
2016-03-01,0.71755
2016-03-02,0.72953
2016-03-03,0.73524
2016-03-04,0.74357
2016-03-07,0.74684
2016-03-08,0.74391
2016-03-09,0.74849
2016-03-10,0.74548
2016-03-11,0.75628
2016-03-14,0.7515
2016-03-15,0.74574
2016-03-16,0.75519
2016-03-17,0.76491
2016-03-18,0.7603
2016-03-21,0.75785
2016-03-22,0.76215
2016-03-23,0.75314
2016-03-24,0.75287
2016-03-25,0.75075
2016-03-28,0.75439
2016-03-29,0.7628
2016-03-30,0.76715
2016-03-31,0.76573
2016-04-01,0.76797
2016-04-04,0.76064
2016-04-05,0.75434
2016-04-06,0.75991
2016-04-07,0.7506
2016-04-08,0.75538
2016-04-11,0.75952
2016-04-12,0.7684
2016-04-13,0.76532
2016-04-14,0.76951
2016-04-15,0.7723
2016-04-18,0.77496
2016-04-19,0.78133
2016-04-20,0.77939
2016-04-21,0.7738
2016-04-22,0.77094
2016-04-25,0.77149
2016-04-26,0.77485
2016-04-27,0.7591
2016-04-28,0.76256
2016-04-29,0.76025
2016-05-02,0.7666
2016-05-03,0.74845
2016-05-04,0.74569
2016-05-05,0.74648
2016-05-06,0.73673
2016-05-09,0.73159
2016-05-10,0.73629
2016-05-11,0.73751
2016-05-12,0.73251
2016-05-13,0.72698
2016-05-16,0.72888
2016-05-17,0.73245
2016-05-18,0.72297
2016-05-19,0.72277
2016-05-20,0.72247
2016-05-23,0.72236
2016-05-24,0.71835
2016-05-25,0.71986
2016-05-26,0.72258
2016-05-27,0.71843
2016-05-30,0.71828
2016-05-31,0.72338
2016-06-01,0.72566
2016-06-02,0.72289
2016-06-03,0.73673
2016-06-06,0.73668
2016-06-07,0.74573
2016-06-08,0.74705
2016-06-09,0.74317
2016-06-10,0.73773
2016-06-13,0.73871
2016-06-14,0.7358
2016-06-15,0.74086
2016-06-16,0.73634
2016-06-17,0.73928
2016-06-20,0.74568
2016-06-21,0.74514
2016-06-22,0.75011
2016-06-23,0.7622
2016-06-24,0.74739
2016-06-27,0.7329
2016-06-28,0.73849
2016-06-29,0.74515
2016-06-30,0.74504
2016-07-01,0.74949
2016-07-04,0.75388
2016-07-05,0.7462
2016-07-06,0.75195
2016-07-07,0.7479
2016-07-08,0.75658
2016-07-11,0.75319
2016-07-12,0.76229
2016-07-13,0.76079
2016-07-14,0.76319
2016-07-15,0.75766
2016-07-18,0.75911
2016-07-19,0.75041
2016-07-20,0.74772
2016-07-21,0.74949
2016-07-22,0.7466
2016-07-25,0.74704
2016-07-26,0.7502
2016-07-27,0.74914
2016-07-28,0.75029
2016-07-29,0.76014
2016-08-01,0.75355
2016-08-02,0.76078
2016-08-03,0.75882
2016-08-04,0.76281
2016-08-05,0.76198
2016-08-08,0.76508
2016-08-09,0.76727
2016-08-10,0.77021
2016-08-11,0.7699
2016-08-12,0.76503
2016-08-15,0.76737
2016-08-16,0.76951
2016-08-17,0.76552
2016-08-18,0.76866
